"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14795","Automation Exercise - Products Flow","chromium","Tue Sep 09 16:11:16 IST 2025","passed","Tue Sep 09 16:11:31 IST 2025","","specs\automation.spec.js","",""
"","8787","should successfully log in with valid credentials","chromium","Mon Sep 08 16:06:41 IST 2025","passed","Mon Sep 08 16:06:50 IST 2025","OrangeHRM Login Scenarios","specs\login.spec.js","",""
